pedido_id,data_venda,produto,categoria,quantidade,preco_unitario,regiao,canal,vendedor
PED-00658,2025-01-04,Teclado Mecanico,Perifericos,1,389.40,Norte,E-commerce,Ana Prado
PED-00136,2025-07-15,Notebook Pro 14,Informatica,1,4619.07,Centro-Oeste,Loja Fisica,Heitor Braga
PED-00117,2025-10-19,Monitor 27 4K,Informatica,3,1734.53,Nordeste,Marketplace,Bruno Salles
PED-00559,2025-10-08,Suporte Monitor,Mobiliario,1,246.10,Centro-Oeste,Loja Fisica,Heitor Braga
PED-00766,2025-12-17,Notebook Pro 14,Informatica,1,4577.10,Norte,E-commerce,Bruno Salles
PED-00322,2025-12-11,  Dock Station USB-C  ,Perifericos,1,809.61,Norte,Marketplace,Gisele Amaral
PED-00077,2025-08-27,Notebook Pro 14,Informatica,1,4480.10,Centro-Oeste,E-commerce,Diego Matos
PED-00736,2025-05-21,HD Externo 4TB,Armazenamento,1,696.54,Norte,Loja Fisica,Bruno Salles
PED-00905,2025-11-28,Mesa Regulavel,Mobiliario,1,1971.78,Sudeste,Televendas,Fabio Lemos
PED-00704,2025-05-01,Monitor 27 4K,Informatica,1,1529.77,Nordeste,E-commerce,Diego Matos
PED-00371,2025-09-11,Mouse Ergonomico,Perifericos,5,248.45,Norte,Loja Fisica,Heitor Braga
PED-00374,2025-09-03,Headset Studio,Perifericos,2,592.45,Nordeste,Loja Fisica,Gisele Amaral
PED-01035,12/06/2025,Suporte Monitor,Mobiliario,1,238.39,Centro-Oeste,Marketplace,Fabio Lemos
PED-00920,20/11/2025,  Caixa de Som Bluetooth  ,Audio,2,367.33,Norte,Marketplace,Carla Nunes
PED-01075,2025-05-17,Suporte Monitor,Mobiliario,1,289.94,Nordeste,Marketplace,Gisele Amaral
PED-00867,2025-08-06,Caixa de Som Bluetooth,Audio,3,406.80,Norte,Loja Fisica,Heitor Braga
PED-00370,2025-06-03,Notebook Pro 14,Informatica,1,4426.39,CENTRO-OESTE,E-commerce,Fabio Lemos
PED-00609,2025-07-11,Notebook Pro 14,Informatica,4,4960.52,Norte,Marketplace,Heitor Braga
PED-00214,2025-10-14,Cadeira Ergonomica,Mobiliario,2,1291.75,Centro-Oeste,Televendas,Carla Nunes
PED-00731,2025-02-16,Dock Station USB-C,Perifericos,1,784.57,Norte,Televendas,Ana Prado
PED-00423,2025-12-22,Microfone Condensador,Audio,1,765.53,Sul,Marketplace,Bruno Salles
PED-00412,2025-11-21,Mesa Regulavel,Mobiliario,1,2153.51,Sudeste,Marketplace,Elisa Rocha
PED-00846,2025-12-24,Cadeira Ergonomica,Mobiliario,1,1508.73,centro-oeste,E-commerce,Heitor Braga
PED-00936,2025-01-31,Headset Studio,Perifericos,1,592.08,Nordeste,Loja Fisica,Bruno Salles
PED-00649,2025-03-29,Cadeira Ergonomica,Mobiliario,10,1524.96,Sul,Marketplace,Carla Nunes
PED-01149,2025-09-24,Suporte Monitor,Mobiliario,2,286.25,Norte,Televendas,Diego Matos
PED-00574,2025-05-23,Dock Station USB-C,Perifericos,1,799.38,Sudeste,Loja Fisica,Gisele Amaral
PED-00797,2025-05-06,SSD 1TB NVMe,Armazenamento,1,563.03,Norte,Marketplace,Ana Prado
PED-00690,2025-04-05,SSD 1TB NVMe,Armazenamento,5,504.32,Centro-Oeste,Marketplace,Diego Matos
PED-00772,2025-10-07,Teclado Mecanico,Perifericos,3,347.94,Norte,Televendas,Heitor Braga
PED-00270,2025-01-26,Mouse Ergonomico,Perifericos,1,219.46,Nordeste,Marketplace,Gisele Amaral
PED-00890,2025-10-08,Mesa Regulavel,Mobiliario,2,2028.90,Sudeste,E-commerce,Bruno Salles
PED-00350,2025-09-27,HD Externo 4TB,Armazenamento, 1 ,620.98,Nordeste,Televendas,Elisa Rocha
PED-00344,2025-10-07,Suporte Monitor,Mobiliario,3,246.60,Centro-Oeste,Loja Fisica,Ana Prado
PED-00615,2025-05-13,HD Externo 4TB,Armazenamento,1,709.01,Centro-Oeste,Marketplace,Heitor Braga
PED-00798,2025-01-26,HD Externo 4TB,Armazenamento,1,701.12,Sul,Televendas,Heitor Braga
PED-00505,2025-09-25,HD Externo 4TB,Armazenamento,1,648.27,centro-oeste,Marketplace,Diego Matos
PED-00922,2025-09-01,  Webcam Full HD  ,Perifericos,2,331.78,Sul,Loja Fisica,Carla Nunes
PED-00315,2025-08-21,Caixa de Som Bluetooth,Audio,2,423.92,Sul,Marketplace,Heitor Braga
PED-00875,2025-05-29,Headset Studio,Perifericos,5,604.78,Sul,E-commerce,Elisa Rocha
PED-01123,2025-10-11,HD Externo 4TB,Armazenamento,1,674.73,Sudeste,Televendas,Gisele Amaral
PED-00835,2025-03-09,Microfone Condensador,Audio,10,713.97,sul,E-commerce,Heitor Braga
PED-00966,2025-12-08,Monitor 27 4K,Informatica,3,1769.54,Sul,Loja Fisica,Diego Matos
PED-00264,2025-01-15,Microfone Condensador,Audio,5,642.82,Sudeste,E-commerce,Elisa Rocha
PED-00145,2025-05-04,Cadeira Ergonomica,Mobiliario,4,1451.17,Centro-Oeste,Loja Fisica,Diego Matos
PED-00229,2025-12-23,Notebook Pro 14,Informatica,1,4968.01,Sul,Marketplace,Heitor Braga
PED-00635,2025-09-15,  HD Externo 4TB  ,Armazenamento,2,649.62,Sudeste,Loja Fisica,Carla Nunes
PED-00520,2025-01-15,Dock Station USB-C,Perifericos,4,913.02,Sul,Loja Fisica,Diego Matos
PED-00471,2025-02-14,Webcam Full HD,Perifericos,4,311.17,Nordeste,Marketplace,Carla Nunes
PED-00945,2025-01-09,Mouse Ergonomico,Perifericos,1,262.34,Centro-Oeste,Televendas,Carla Nunes
PED-00578,2025-07-06,Mesa Regulavel,Mobiliario,2,2381.76,Sudeste,Loja Fisica,Heitor Braga
PED-00851,2025-02-24,HD Externo 4TB,Armazenamento,1,708.44,Nordeste,E-commerce,Elisa Rocha
PED-00359,2025-12-19,Webcam Full HD,Perifericos,3,288.86,Sudeste,Televendas,Ana Prado
PED-01033,2025-01-11,Microfone Condensador,Audio,1,687.22,Norte,Televendas,Ana Prado
PED-00056,2025-01-20,Dock Station USB-C,Perifericos,2,824.59,centro-oeste,Loja Fisica,Diego Matos
PED-00360,2025-06-24,Notebook Pro 14,Informatica, 1 ,4976.72,Norte,Marketplace,Fabio Lemos
PED-00494,2025-07-12,Notebook Pro 14,Informatica,1,4322.86,Sul,E-commerce,Bruno Salles
PED-00541,15/12/2025,Caixa de Som Bluetooth,Audio,1,366.19,Centro-Oeste,Televendas,Gisele Amaral
PED-00523,2025-08-31,Headset Studio,Perifericos,1,562.59,Norte,Televendas,Fabio Lemos
PED-00434,2025-09-17,Caixa de Som Bluetooth,Audio,1,422.29,Nordeste,Marketplace,Gisele Amaral
PED-00961,2025-07-30,Microfone Condensador,Audio,5,733.22,Norte,Televendas,Fabio Lemos
PED-00990,2025-05-13,HD Externo 4TB,Armazenamento,3,596.60,Sul,E-commerce,Carla Nunes
PED-00447,2025-06-13,Headset Studio,Perifericos,1,618.87,Nordeste,E-commerce,Fabio Lemos
PED-00916,2025-04-14,Cadeira Ergonomica,Mobiliario,3,1332.23,Centro-Oeste,Televendas,Gisele Amaral
PED-00643,2025-11-26,SSD 1TB NVMe,Armazenamento,1,475.11,Nordeste,Loja Fisica,Carla Nunes
PED-00579,2025-08-31,Headset Studio,Perifericos,2,583.40,Nordeste,Marketplace,Bruno Salles
PED-00285,2025-07-14,Monitor 27 4K,Informatica,2,1779.68,Sul,Loja Fisica,Ana Prado
PED-00460,2025-03-03,SSD 1TB NVMe,Armazenamento,1,495.75,Sudeste,Loja Fisica,Elisa Rocha
PED-00544,2025-05-21,Headset Studio,Perifericos,2,509.71,Sul,Loja Fisica,Carla Nunes
PED-00363,2025-02-07,Dock Station USB-C,Perifericos,2,898.55,Sudeste,Televendas,
PED-00801,2025-10-27,Notebook Pro 14,Informatica,3,4267.18,Norte,Loja Fisica,Gisele Amaral
PED-00571,2025-12-19,Mesa Regulavel,Mobiliario,4,2184.25,Norte,E-commerce,Gisele Amaral
PED-00243,2025-04-03,Notebook Pro 14,Informatica,1,5129.71,Norte,Televendas,Fabio Lemos
PED-01126,2025-06-23,HD Externo 4TB,Armazenamento,1,721.24,Norte,Marketplace,Carla Nunes
PED-00790,2025-07-03,Cadeira Ergonomica,Mobiliario,1,1471.34,Sudeste,Marketplace,Carla Nunes
PED-00977,2025-01-29,SSD 1TB NVMe,Armazenamento,1,533.09,Nordeste,Marketplace,Carla Nunes
PED-00362,2025-12-15,HD Externo 4TB,Armazenamento,5,654.52,Norte,Marketplace,Bruno Salles
PED-00417,2025-01-09,Notebook Pro 14,Informatica,2,"4974,79",Sudeste,Loja Fisica,Heitor Braga
PED-00727,2025-03-23,Mesa Regulavel,Mobiliario,5,2375.29,Sudeste,E-commerce,Elisa Rocha
PED-00149,2025-06-01,Teclado Mecanico,Perifericos,1,359.41,Nordeste,E-commerce,Gisele Amaral
PED-01049,2025-01-19,HD Externo 4TB,Armazenamento,10,653.15,Sul,Loja Fisica,Elisa Rocha
PED-00119,2025-06-15,Notebook Pro 14,Informatica,2,5026.36,Norte,Televendas,Ana Prado
PED-00063,2025-12-08,Suporte Monitor,Mobiliario,4,265.45,Centro-Oeste,Televendas,Gisele Amaral
PED-00869,2025-05-02,Webcam Full HD,Perifericos,2,317.68,Norte,Televendas,Gisele Amaral
PED-00481,2025-03-08,Notebook Pro 14,Informatica,1,4757.12,Nordeste,Loja Fisica,Fabio Lemos
PED-00057,2025-04-27,Microfone Condensador,Audio,4,689.03,Sul,E-commerce,Diego Matos
PED-00237,2025-11-26,Notebook Pro 14,Informatica,1,4487.60,Sul,Marketplace,Heitor Braga
PED-00697,2025-05-12,Mouse Ergonomico,Perifericos,1,240.42,NORDESTE,E-commerce,Gisele Amaral
PED-00006,2025-05-16,Notebook Pro 14,Informatica,1,4492.89,Sudeste,Marketplace,Bruno Salles
PED-00177,2025-12-26,SSD 1TB NVMe,Armazenamento,2,513.89,Sudeste,Loja Fisica,Gisele Amaral
PED-00534,2025-06-01,Suporte Monitor,Mobiliario,1,264.90,Nordeste,Marketplace,Gisele Amaral
PED-00783,2025-06-09,Webcam Full HD,Perifericos,1,289.70,NORTE,Televendas,Heitor Braga
PED-00042,2025-06-03,Mouse Ergonomico,Perifericos,1,245.99,Centro-Oeste,Televendas,Bruno Salles
PED-00082,2025-11-26,Cadeira Ergonomica,Mobiliario,2,1274.58,Centro-Oeste,Loja Fisica,Heitor Braga
PED-00984,2025-10-11,Teclado Mecanico,Perifericos,1,361.19,Centro-Oeste,E-commerce,Elisa Rocha
PED-01105,2025-09-02,SSD 1TB NVMe,Armazenamento,1,566.26,Nordeste,Loja Fisica,Carla Nunes
PED-00997,2025-10-14,HD Externo 4TB,Armazenamento,1,620.49,Norte,E-commerce,Gisele Amaral
PED-00575,2025-08-16,Webcam Full HD,Perifericos,3,284.84,Norte,,Bruno Salles
PED-00653,2025-11-11,Cadeira Ergonomica,Mobiliario,1,1408.31,Norte,E-commerce,Bruno Salles
PED-00861,2025-01-28,Notebook Pro 14,Informatica,1,4693.31,Sudeste,Televendas,Bruno Salles
PED-00354,2025-06-19,SSD 1TB NVMe,Armazenamento,4,537.46,Norte,E-commerce,Ana Prado
PED-00646,2025-10-31,Notebook Pro 14,Informatica,1,4281.57,Sul,Loja Fisica,Ana Prado
PED-01003,31/01/2025,Notebook Pro 14,Informatica,3,4658.68,Centro-Oeste,E-commerce,Elisa Rocha
PED-00107,2025-09-03,Microfone Condensador,Audio,1,679.24,centro-oeste,Televendas,Carla Nunes
PED-00634,2025-10-29,Headset Studio,Perifericos,1,615.94,Nordeste,Loja Fisica,Heitor Braga
PED-00860,2025-09-19,Notebook Pro 14,Informatica,2,4754.54,Centro-Oeste,Loja Fisica,Elisa Rocha
PED-00174,2025-09-03,Mesa Regulavel,Mobiliario,5,1974.36,CENTRO-OESTE,Marketplace,Bruno Salles
PED-01114,2025-09-07,Microfone Condensador,Audio,2,748.14,Nordeste,Televendas,Gisele Amaral
PED-00516,2025-09-09,Microfone Condensador,Audio,3,683.23,Sudeste,Loja Fisica,Carla Nunes
PED-00742,2025-10-20,Notebook Pro 14,Informatica,1,4253.08,Centro-Oeste,Marketplace,Elisa Rocha
PED-00068,2025-01-24,Teclado Mecanico,Perifericos,3,342.91,Sul,Marketplace,Bruno Salles
PED-01112,2025-05-13,Monitor 27 4K,Informatica,1,1873.12,Sudeste,Marketplace,Ana Prado
PED-00991,2025-07-02,Headset Studio,Perifericos,1,592.21,Sul,E-commerce,Elisa Rocha
PED-00375,2025-09-09,  Headset Studio  ,Perifericos,1,592.41,NORTE,Loja Fisica,Fabio Lemos
